"genename","age","percent","measurement"
"Aldh1a1",23,0.00104597094120008,0.76450755511059
"Aldh1a1",18,0.00321470971200561,1
"Aldh1a1",15,0.00181127037335784,0.837411848060761
"Aldh1a1",13,0.000137232805502968,0
"Bcl11b",11,0.00021398780293524,0
"Bcl11b",18,0.00965538334487988,0.526289988788139
"Bcl11b",15,0.00457556436497354,1
"Bcl11b",13,0.00228332952977892,0.828498848282462
"Bcl11b",23,0.00617275321842845,0.263848052802264
"Cdh2",11,0.0100607052246738,0.94774458630589
"Cdh2",18,0.0450359821318798,1
"Cdh2",15,0.0257263428041024,0.759547859412335
"Cdh2",13,0.00700276449920119,0.379999211113367
"Cdh2",23,0.0415301857541866,0
"Cux1",11,0.00240527814590026,0.459672305562397
"Cux1",13,0.000868050918983412,0
"Cux1",18,0.0018225359003957,0.39095641967696
"Cux1",23,0.000532087086820396,1
"Cux1",15,0.00206093339743536,0.776713189602547
"Dcx",11,0.0150097414324871,1
"Dcx",18,0.0101431458771975,0.0643271245027378
"Dcx",15,0.0206496751067368,0.539288973032532
"Dcx",13,0.00813875335737016,0.804287732242118
"Dcx",23,0.0378803899903906,0
"Eomes",11,0.00584553081963925,0.448873680355009
"Eomes",13,0.0113747939473503,1
"Eomes",18,0.00175864560688173,0
"Eomes",15,0.00349820678071456,0.608444150380702
"Eomes",23,0.000964948679266676,0.045499066718982
"Gad2",11,0.0064335856176285,0.632088604526564
"Gad2",23,0.0273679527318937,0.300039024759541
"Gad2",23,0.0311783905443032,0.039063962358829
"Gad2",15,0.0173587017808384,0.648425423230525
"Gad2",13,0.0152421754116428,1
"Gad2",18,0.0245881872832557,0
"Gfap",11,0.00657307126839063,0.565027623652088
"Gfap",23,0.0130939916112467,1
"Gfap",18,0.00683473286539521,0.467361223809413
"Gfap",15,0.000293319635037174,0
"Itgam",11,0.000696838339546138,0
"Itgam",18,0.000117462604222496,0.0669528057471275
"Itgam",23,0.00120443629442947,0.319018064998503
"Itgam",15,0.000236939387290923,0.521401301928927
"Itgam",13,0.000227263184707096,1
"Map2",11,0.073096715354507,1
"Map2",23,0.0322891816895985,0
"Map2",15,0.0570651333905482,0.795994995654408
"Map2",18,0.0304202803037592,0.203876285609947
"Map2",13,0.0321706994642805,0.871326088690694
"Nes",11,0.0337130671479387,0.858625941093897
"Nes",23,0.000923753730750613,0
"Nes",13,0.0256942640060725,1
"Nes",15,0.00421850687968199,0.593315908626561
"Nes",18,0.00194495031332797,0.578511095483693
"Neurod1",11,0.00198602911079008,1
"Neurod1",15,0.000683404988162936,0.71718884880287
"Neurod1",15,0.00149201699228804,0.973433384608344
"Neurod1",23,0.00118609951005448,0
"Neurod1",18,0.00205222913310188,0.52221248482347
"Neurod1",13,0.0018598163012589,0.524858523105209
"Ngfr",11,0.0136232722300902,1
"Ngfr",13,0.00257690441477842,0.410236643410611
"Ngfr",15,0.00424521317136147,0.905428724408962
"Ngfr",18,0.00154372089971654,0.0530912752731155
"Ngfr",23,0.000948903769702021,0
"Ntrk2",11,0.00387665377969259,0.263676319387054
"Ntrk2",13,0.00555256760222728,1
"Ntrk2",15,0.0260784904539205,0.797354563121594
"Ntrk2",23,0.0317287599615443,0
"Ntrk2",18,0.0192780792771428,0.495356103169954
"Olig2",11,0.00341633157914692,1
"Olig2",18,0.0036443708543769,0
"Olig2",13,0.000529378163890144,0.556910724604753
"Olig2",15,0.00091644608812699,0.216662566051662
"Olig2",23,0.0237757375302768,0.49657863050426
"Pax6",11,0.0166102423302716,0.919878427150163
"Pax6",23,0.00278635674145824,0
"Pax6",15,0.0113902465536857,0.772274689876269
"Pax6",18,0.00856844215289568,0.607534439465797
"Pax6",13,0.0136573315658482,1
"Pdgfra",11,0.00781120337416113,0.26382975804454
"Pdgfra",18,0.0154857520813359,1
"Pdgfra",23,0.0110978468688062,0.161121511904463
"Pdgfra",13,0.000732003956944581,0.0768788735245758
"Pdgfra",15,0.0014782338343412,0
"Pdgfrb",11,0.0093749718266377,0.622445929832085
"Pdgfrb",13,0.00292114444522198,0.323632026087606
"Pdgfrb",18,0.0095482214822966,1
"Pdgfrb",15,0.00123353540807435,0.109020001446271
"Pdgfrb",23,0.00158102637585777,0
"Prom1",11,0.00147992502258233,0.842904303525634
"Prom1",23,0.000128396648861012,0
"Prom1",15,0.000608628174029661,1
"Prom1",18,0.000394083129959361,0.648558905766422
"Prom1",13,0.000196241220647415,0.967093855908794
"Ptprc",11,0.00454281878490246,0.829301684191273
"Ptprc",18,0.000254660241221577,0
"Ptprc",15,0.000498575674088427,0.250147306450477
"Ptprc",23,0.000388945479928869,1
"Ptprc",13,0.00064333365958974,0.438422979786056
"Slc1a3",11,0.00101443780462977,0.174597477210899
"Slc1a3",23,0.0283813736265166,0.301994860048808
"Slc1a3",15,0.0249096306426557,1
"Slc1a3",13,0.00432510177028289,0.523533243310561
"Slc1a3",18,0.00725778514611827,0
"Sox10",11,0.00383412599675896,1
"Sox10",15,0.000151471015643069,0.144551836196608
"Sox10",23,0.0012531633633612,0.0605508364787748
"Sox10",18,0.00428794025808881,0
"Sox10",13,8.82605833184765e-05,0.280840018588861
"Sox2",11,0.0491904664861987,1
"Sox2",18,0.0248700054989455,0.487119556037209
"Sox2",15,0.0359777849495187,0.908098324352161
"Sox2",23,0.0118095203357728,0
"Sox2",13,0.0466791229965259,0.950093897042017
"Tbr1",11,0.00268088189483287,0.893953870709688
"Tbr1",15,0.0154348436125028,0.869314989755969
"Tbr1",18,0.00295179792393856,0.540997459015036
"Tbr1",23,0.00189575878424734,0
"Tbr1",13,0.0234658509438504,1
"Tubb3",11,0.0748697836454008,1
"Tubb3",13,0.0317637665768693,0.760197170214068
"Tubb3",15,0.0365218942551962,0.689461256866167
"Tubb3",23,0.0855399292387274,0.016726575577141
"Tubb3",18,0.0603056074884778,0
